Naive: 3.811567 s
Searching through approximately 10^{6.02} configurations.../home/jirka/.local/lib/python3.11/site-packages/opentuner/search/driver.py:183: SAWarning: Object of type <DesiredResult> not in session, add operation along 'TuningRun.desired_results' will not proceed
  self.session.flush()  # populate configuration_id
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 43, 'J_BLOCK_SIZE': 28, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 2}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 20, 'J_BLOCK_SIZE': 49, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 2}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 58, 'J_BLOCK_SIZE': 28, 'TRANSPOSE_A': False, 'TRANSPOSE_B': True, 'K_BLOCK_SIZE': 2}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 16, 'J_BLOCK_SIZE': 12, 'TRANSPOSE_B': True, 'K_BLOCK_SIZE': 14, 'TRANSPOSE_A': False}
Success: time=0.539976 s on  {'I_BLOCK_SIZE': 20, 'J_BLOCK_SIZE': 28, 'TRANSPOSE_A': True, 'TRANSPOSE_B': True, 'K_BLOCK_SIZE': 5}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 52, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'J_BLOCK_SIZE': 25, 'K_BLOCK_SIZE': 48}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 16, 'J_BLOCK_SIZE': 28, 'TRANSPOSE_A': False, 'TRANSPOSE_B': True, 'K_BLOCK_SIZE': 2}
Success: time=1.642669 s on  {'I_BLOCK_SIZE': 20, 'J_BLOCK_SIZE': 28, 'TRANSPOSE_A': False, 'TRANSPOSE_B': True, 'K_BLOCK_SIZE': 2}
Success: time=0.329821 s on  {'I_BLOCK_SIZE': 20, 'J_BLOCK_SIZE': 40, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 2}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 20, 'J_BLOCK_SIZE': 37, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 46}
Success: time=0.321791 s on  {'I_BLOCK_SIZE': 18, 'J_BLOCK_SIZE': 56, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 2}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 25, 'J_BLOCK_SIZE': 33, 'TRANSPOSE_B': True, 'K_BLOCK_SIZE': 25, 'TRANSPOSE_A': True}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 62, 'TRANSPOSE_A': True, 'TRANSPOSE_B': True, 'J_BLOCK_SIZE': 38, 'K_BLOCK_SIZE': 31}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 34, 'TRANSPOSE_A': True, 'TRANSPOSE_B': True, 'J_BLOCK_SIZE': 11, 'K_BLOCK_SIZE': 8}
Success: time=1.084818 s on  {'I_BLOCK_SIZE': 9, 'TRANSPOSE_A': True, 'TRANSPOSE_B': False, 'J_BLOCK_SIZE': 16, 'K_BLOCK_SIZE': 6}
Success: time=1.59993 s on  {'I_BLOCK_SIZE': 20, 'J_BLOCK_SIZE': 28, 'TRANSPOSE_A': True, 'TRANSPOSE_B': True, 'K_BLOCK_SIZE': 2}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 20, 'J_BLOCK_SIZE': 27, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 2}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 20, 'J_BLOCK_SIZE': 28, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 58}
Success: time=1.862575 s on  {'I_BLOCK_SIZE': 20, 'J_BLOCK_SIZE': 12, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 2}
[    22s]    INFO opentuner.search.plugin.DisplayPlugin: tests=48, best #49, cost time=0.2515, found by UniformGreedyMutation
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 64, 'J_BLOCK_SIZE': 1, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 31, 'TRANSPOSE_A': False}
Success: time=0.29577 s on  {'I_BLOCK_SIZE': 14, 'J_BLOCK_SIZE': 28, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 2}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 20, 'J_BLOCK_SIZE': 22, 'TRANSPOSE_A': True, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 2}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 20, 'J_BLOCK_SIZE': 22, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 7}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 51, 'J_BLOCK_SIZE': 11, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 29, 'TRANSPOSE_A': False}
Success: time=0.252438 s on  {'I_BLOCK_SIZE': 42, 'J_BLOCK_SIZE': 28, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 2}
Success: time=1.63533 s on  {'I_BLOCK_SIZE': 20, 'J_BLOCK_SIZE': 10, 'TRANSPOSE_A': True, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 2}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 20, 'J_BLOCK_SIZE': 28, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 49}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 30, 'J_BLOCK_SIZE': 23, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 26, 'TRANSPOSE_A': False}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 54, 'TRANSPOSE_A': True, 'TRANSPOSE_B': True, 'J_BLOCK_SIZE': 39, 'K_BLOCK_SIZE': 43}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 8, 'TRANSPOSE_A': True, 'TRANSPOSE_B': True, 'J_BLOCK_SIZE': 8, 'K_BLOCK_SIZE': 26}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 22, 'TRANSPOSE_A': False, 'TRANSPOSE_B': True, 'J_BLOCK_SIZE': 24, 'K_BLOCK_SIZE': 24}
Success: time=0.241676 s on  {'I_BLOCK_SIZE': 20, 'J_BLOCK_SIZE': 60, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 2}
Success: time=1.62455 s on  {'I_BLOCK_SIZE': 20, 'J_BLOCK_SIZE': 28, 'TRANSPOSE_A': False, 'TRANSPOSE_B': True, 'K_BLOCK_SIZE': 2}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 20, 'J_BLOCK_SIZE': 28, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 31}
